"","X","ResponseId","Q141_First.Click","label2_1","label3_1","severe","likelihood1","likelihood2","likelihood3","likelihood4","adjustMyTreatment1","adjustMyTreatment2","adjustMyTreatment3","adjustMyTreatment4","concernsOpen","moveForwardOpen","label1_2","label2_2","label3_2","ladderDave","insurance_Patient","incomeDave","ed_Patient","manipulationCheck","healthLit_Patient","perspective1","perspective2","perspective3","perspective4","perspective5","perspective6","age_Self","gender_Self","gender_5_TEXT","race_Self","race_6_TEXT","race_7_TEXT","ladder_Self","income_Self","incomeYouth","ed_Own","ed_Dad","ed_Mom","politics_Self","telemed","patient","conditionRace","conditionSES","likelihood2Recode","likelihood3Recode","bias","raceFactor","incomeFactor","edParent","treatRecode1_1","treatRecode2_1","treatRecode1_2","treatRecode2_2","strike","treat1","treat2","treatSum","treatAvg","treatmentWhy","initiative","exaggerate","honest","clearer","givingUp","lazy","motivated","healthImproves","attributions","zScoreIncome","zScoreEd","objectiveSES","zScoreIncomeDave","zScoreEdDave","objectiveSESDave","adjust","perspective","study","Duration..in.seconds.","Finished","RecordedDate","patientId_1","feelingTherm_1_1","feelingTherm_1_2","feelingTherm_1_3","feelingTherm_1_4","feelingTherm_1_5","feelingTherm_1_6","feelingTherm_1_7","feelingTherm_1_8","feelingTherm_1_9","feelingTherm_1_10","feelingTherm_1_11","therm_1","therm_2","therm_3","therm_4","therm_5","therm_6","therm_7","therm_8","therm_9","therm_10","therm_11","feelingTherm","ladder_Patient","income_Patient","idRecall_1","idRecall_2","idRecall_3","load_Effort_1","load_Difficulty_1","gender_Self_5_TEXT","race_Self_6_TEXT","race_Self_7_TEXT","income_Youth","Patient2Name","Condition","Patient2","aid","cogLoad","loadCondition","incapable","deserve","difficult","busy","intelligent","notes","loadSum","loadMean","manipulationCheck_m","manipulationCheck_f","Gender","SES","jobTitle","jobTitle_6_TEXT","specialtyField","ladder_Childhood","politics_Own","yearsWork_1","specialty","jobTitle.1","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingDegree","trainingWhere","trainingWhere_US","trainingWhere_notUS","ref","Race"
"1473",1473,"R_3O2DxES9dZ7ZoYD",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Continue asking to follow with initial recs",NA,NA,NA,NA,1,NA,4,NA,4,4,4,4,2,4,2,50,"Female",NA,1,NA,NA,8,NA,NA,NA,3,3,NA,4,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"Without imaging one cannot make assumptions about need for surgical care or invasive procedures. Opiates should not be first line therapy ",5,3,5,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,5,7,NA,NA,NA,NA,NA,"","","",NA,"Dave","WhiteHighMale",NA,NA,NA,NA,3,5,5,5,3,"Has LBP radicuolpaty 
Recommend imaging  
Did not follow initial recs",NA,NA,1,NA,NA,"High","NPPA",NA,1,6,NA,33,"","Np",21,NA,49,"Masters",1,26,"",485515015,"White"
"1474",1474,"R_3O2DxES9dZ7ZoYD",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Continue asking to follow with initial recs",NA,NA,NA,NA,1,NA,4,NA,4,4,4,4,2,4,2,50,"Female",NA,1,NA,NA,8,NA,NA,NA,3,3,NA,4,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"Same reason and Dave had not taken initiative to do recommendations ",5,4,2,NA,4,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,5,7,NA,NA,NA,NA,NA,"","","",NA,"Dave","WhiteHighMale",NA,NA,NA,NA,3,4,4,4,3,"Same as previous ",NA,NA,1,NA,NA,"High","NPPA",NA,1,6,NA,33,"","Np",21,NA,49,"Masters",1,26,"",485515015,"White"
"1475",1475,"R_2dGSFBwINGnukGe",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In person visit and images ",NA,NA,NA,NA,1,NA,1,NA,2,2,2,2,4,1,2,56,"Female",NA,1,NA,NA,6,7,NA,NA,3,2,NA,4,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,4,2,1,7,8,2,1,"1 st visit for me just getting to know the pt",4,2,5,NA,2,3,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,2,2,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteLowMale",NA,NA,NA,NA,3,5,2,3,3,"'- provided written info on stretching exercises 
- reviewed importance of taking meds prior to pain reaching a high level 
- breakthrough pain coverage with nsaids pen",NA,NA,1,NA,NA,"Low","NPPA",NA,1,3,2,25,"Family ","Fnp",25,NA,75,"Másters ",1,33,"",485516735,"White"
"1476",1476,"R_2dGSFBwINGnukGe",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In person visit and images ",NA,NA,NA,NA,1,NA,1,NA,2,2,2,2,4,1,2,56,"Female",NA,1,NA,NA,6,7,NA,NA,3,2,NA,4,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,4,2,2,1,6,6,3,"Trying to help his pain improve would like to add adjunct therapy like chiropractic acupuncture pt",4,3,4,NA,3,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,2,2,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteLowMale",NA,NA,NA,NA,3,5,3,3,3,"Schedule in person visit at earliest availability 
Continue meds as directed 
Consider ortho back",NA,NA,1,NA,NA,"Low","NPPA",NA,1,3,2,25,"Family ","Fnp",25,NA,75,"Másters ",1,33,"",485516735,"White"
"1477",1477,"R_3nCbmztTwnpnjo2",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would tell him he needs to try what I have recommended before we can take any additional steps. ",NA,NA,NA,NA,2,NA,2,NA,4,2,2,2,4,2,4,29,"Female",NA,1,NA,NA,8,6,NA,NA,3,3,NA,4,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"Best to start with OTC options before escalating. Also he could try PT first ",4,3,5,NA,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,3,5,NA,NA,NA,NA,NA,"","","",7,"Dave","WhiteLowMale",NA,NA,NA,NA,1,4,3,4,4,"Patient presents complaining of “dull” right sided low back pain. Last visit I recommended topical lidocaine and OTC analgesics such as Tylenol and ibuprofen but unfortunately the patient states he was too busy to try these. His pain persists and is impacting his daily activities and quality of life. ",NA,NA,1,NA,NA,"Low","NPPA",NA,1,7,3,8,"Family nurse practitioner ","Nurse practitioner ",6,NA,100,"Masters ",1,22,"",485518198,"White"
"1478",1478,"R_3nCbmztTwnpnjo2",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would tell him he needs to try what I have recommended before we can take any additional steps. ",NA,NA,NA,NA,2,NA,2,NA,4,2,2,2,4,2,4,29,"Female",NA,1,NA,NA,8,6,NA,NA,3,3,NA,4,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"He hasn’t tried anything for his pain. Start with the basics ",5,3,5,NA,4,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,3,5,NA,NA,NA,NA,NA,"","","",7,"Dave","WhiteLowMale",NA,NA,NA,NA,1,4,4,4,3,"The patient continues to complain of right sided low back pain. On two separate occasions now I have recommended that he trial OTC, topicals and analgesics, but he has not. I have again advised him to do so. If his pain persists after this I will place a referral to PT. ",NA,NA,1,NA,NA,"Low","NPPA",NA,1,7,3,8,"Family nurse practitioner ","Nurse practitioner ",6,NA,100,"Masters ",1,22,"",485518198,"White"
"1479",1479,"R_1lB4JAFS3utPCFi",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I need a better understanding of his pain and what may be causing the pain. Also, a psych/social hx may be helpful",NA,NA,NA,NA,4,NA,3,NA,4,3,3,3,3,3,3,44,"Female",NA,1,NA,NA,9,7,NA,NA,2,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,2,1,2,1,1,6,7,3,1.5,"not enough information to determine severity or dx",1,3,5,NA,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,7,0,0,0,0,7,5,5,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteHighMale",NA,NA,NA,NA,3,5,3,3,3,"Pt cont. to experience pain
Pt did not engage on previously discussed plan
Discussed barriers to plan and modified plan",NA,NA,1,NA,NA,"High","NPPA",NA,1,7,5,21,"Family Practice","Nurse Practitioner",2,NA,83,"Masters",1,31,"",485517065,"White"
"1480",1480,"R_1lB4JAFS3utPCFi",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I need a better understanding of his pain and what may be causing the pain. Also, a psych/social hx may be helpful",NA,NA,NA,NA,4,NA,3,NA,4,3,3,3,3,3,3,44,"Female",NA,1,NA,NA,9,7,NA,NA,2,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,2,1,2,1,2,6,7,3,1.5,"He did not follow the previous plan - I would not increase pain medications",1,4,4,NA,1,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,7,0,0,0,0,7,5,5,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteHighMale",NA,NA,NA,NA,3,5,3,3,3,"discussed previous plan
Discussed pain levels, work/home life
modified plan",NA,NA,1,NA,NA,"High","NPPA",NA,1,7,5,21,"Family Practice","Nurse Practitioner",2,NA,83,"Masters",1,31,"",485517065,"White"
"1481",1481,"R_1dcOPSdLsrDNLj7",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schedule in person visit",NA,NA,NA,NA,1,NA,4,NA,5,3,4,3,3,4,3,45,"Male",NA,2,NA,NA,6,6,NA,NA,4,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"Avoiding controlled medicine ",4,3,5,NA,3,2,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,6,6,NA,NA,NA,NA,NA,"","","",3,"Dave","WhiteHighMale",NA,NA,NA,NA,2,5,3,3,4,"Patient with back pains not interfering in functionality was advised medication but not compliant.
Compliant reinforced ",NA,NA,1,NA,NA,"High","MD",NA,1,4,4,16,"Family Medicine ","Attending ",16,NA,86,"Board certified ",1,33,"",485502843,"White"
"1482",1482,"R_1dcOPSdLsrDNLj7",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schedule in person visit",NA,NA,NA,NA,1,NA,4,NA,5,3,4,3,3,4,3,45,"Male",NA,2,NA,NA,6,6,NA,NA,4,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"Patient has not used them",4,3,4,NA,3,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,6,6,NA,NA,NA,NA,NA,"","","",3,"Dave","WhiteHighMale",NA,NA,NA,NA,3,5,3,3,3,"Patient with back pain not compliant was advised to see in person visit",NA,NA,1,NA,NA,"High","MD",NA,1,4,4,16,"Family Medicine ","Attending ",16,NA,86,"Board certified ",1,33,"",485502843,"White"
"1483",1483,"R_3sdHd7qtW9Xm6Sn",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If he is not trying the recommended treatment there is no way it can help. He needs seen in person for further testing",NA,NA,NA,NA,1,NA,2,NA,4,4,4,3,1,4,1,48,"Female",NA,1,NA,NA,6,6,NA,NA,2,2,NA,1,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"His blood pressure was normal and pain mild. OTC medication should be tried first.",5,3,3,NA,3,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,0,0,9,0,0,9,5,4,NA,NA,NA,NA,NA,"","","",3,"Dave","WhiteLowMale",NA,NA,NA,NA,3,5,3,3,3,"Pain continues. Is not worse but not better. Recommend he try the treatment that was initially recommended.",NA,NA,1,NA,NA,"Low","RN",NA,1,4,5,27,"Family Practice","Registered Nurse",27,NA,85,"BSN",1,39,"",485510538,"White"
"1484",1484,"R_3sdHd7qtW9Xm6Sn",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If he is not trying the recommended treatment there is no way it can help. He needs seen in person for further testing",NA,NA,NA,NA,1,NA,2,NA,4,4,4,3,1,4,1,48,"Female",NA,1,NA,NA,6,6,NA,NA,2,2,NA,1,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"He never tried the medication that was recommended at his first visit. He should actually try them to see if it helps.",5,3,3,NA,3,3,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,0,0,9,0,0,9,5,4,NA,NA,NA,NA,NA,"","","",3,"Dave","WhiteLowMale",NA,NA,NA,NA,3,4,4,3,3,"Still no better. Still did not try recommended treatment. Needs evaluated in person.",NA,NA,1,NA,NA,"Low","RN",NA,1,4,5,27,"Family Practice","Registered Nurse",27,NA,85,"BSN",1,39,"",485510538,"White"
"1485",1485,"R_6tjgIbbw1Q8o6EV",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refer to uc",NA,NA,NA,NA,1,NA,3,NA,7,3,3,3,3,4,4,37,"Female",NA,2,NA,NA,8,7,NA,NA,4,3,NA,4,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"a low dull pain can be attributed to a muscle sprain. dave's vitals don't indicate the need for a stronger medication. ",3,3,3,NA,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,8,6,NA,NA,NA,NA,NA,"","","",6,"Dave","WhiteHighMale",NA,NA,NA,NA,3,4,3,4,3,"Have dave f/u for a UA to r/o any bladder/kidney issues

have dave f/u with PT or potentially tens therapy if pain doesn't improve.

aggressive nsaid use c food and lidocaine patches for 5-7 to see if quality of pain improves.",NA,NA,1,NA,NA,"High","NPPA",NA,1,8,3,6,"family medicine","nurse practitioner",5,NA,100,"masters",1,31,"",485520152,"White"
"1486",1486,"R_6tjgIbbw1Q8o6EV",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refer to uc",NA,NA,NA,NA,1,NA,3,NA,7,3,3,3,3,4,4,37,"Female",NA,2,NA,NA,8,7,NA,NA,4,3,NA,4,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"there honestly isn't enough data to warrant going to a weak opioid. ",4,3,4,NA,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,8,6,NA,NA,NA,NA,NA,"","","",6,"Dave","WhiteHighMale",NA,NA,NA,NA,3,4,3,4,3,"non-compliant lifestyle choices and medication use - pt should be referred out to uc or pcp for f/u

quality and characteristic of pain is unchanged - waxing and waning

vitals are stable ",NA,NA,1,NA,NA,"High","NPPA",NA,1,8,3,6,"family medicine","nurse practitioner",5,NA,100,"masters",1,31,"",485520152,"White"
"1487",1487,"R_2ZDfBlkMmaq3UMJ",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Have a discussion about why he is not following the treatment plan. See if there’s something else going on. ",NA,NA,NA,NA,3,NA,3,NA,3,2,2,2,4,2,4,36,"Female",NA,4,NA,NA,8,7,NA,NA,2,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"With the limited info given about the patient most likely muscular pain in nature. Opioid not recommended. ",4,3,5,NA,3,3,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On",0,0,0,0,0,0,0,0,0,0,11,11,8,5,NA,NA,NA,NA,NA,"","","",5,"Dave","WhiteHighMale",NA,NA,NA,NA,1,5,2,3,3,"Patient agrees to start treatment plan. 
Discussed avoiding over use/ pain triggers. 
If no improvement with treatment plan, can consider imaging or physical therapy. ",NA,NA,1,NA,NA,"High","NPPA",NA,1,6,6,11,"","FNP",5,NA,80,"Masters",1,5,"",485511944,"White"
"1488",1488,"R_2ZDfBlkMmaq3UMJ",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Have a discussion about why he is not following the treatment plan. See if there’s something else going on. ",NA,NA,NA,NA,3,NA,3,NA,3,2,2,2,4,2,4,36,"Female",NA,4,NA,NA,8,7,NA,NA,2,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"Same as before. ",5,3,5,NA,1,1,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On",0,0,0,0,0,0,0,0,0,0,11,11,8,5,NA,NA,NA,NA,NA,"","","",5,"Dave","WhiteHighMale",NA,NA,NA,NA,3,5,4,3,3,"Would depend on further discussion With him. ",NA,NA,1,NA,NA,"High","NPPA",NA,1,6,6,11,"","FNP",5,NA,80,"Masters",1,5,"",485511944,"White"
"1489",1489,"R_25TajitxPF7uQyR",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recommend an in person evaluation ",NA,NA,NA,NA,2,NA,3,NA,2,3,4,2,3,3,2,35,"Female",NA,3,NA,NA,7,6,NA,NA,3,2,NA,3,NA,"White","High SES",NA,NA,NA,NA,NA,NA,2,1,2,1,1,6,7,3,1.5,"Unsure if he has tried any OTC treatment, but pain appears to be bothersome.",4,2,4,NA,1,2,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,0,0,0,10,0,10,6,4,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteHighMale",NA,NA,NA,NA,2,5,1,3,3,"Patient complains of dull lower back pain. Patient has tried over-the-counter Tylenol and tramadol for the pain without relief. Recommend further evaluation to determine cause of pain. Will start lidocaine patch in addition to current regimen in the meantime.",NA,NA,1,NA,NA,"High","NPPA",NA,1,6,2,15,"Primary care ","Nurse practitioner ",2,NA,100,"Masters",1,10,"",485518690,"White"
"1490",1490,"R_25TajitxPF7uQyR",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recommend an in person evaluation ",NA,NA,NA,NA,2,NA,3,NA,2,3,4,2,3,3,2,35,"Female",NA,3,NA,NA,7,6,NA,NA,3,2,NA,3,NA,"White","High SES",NA,NA,NA,NA,NA,NA,2,1,2,1,2,6,8,3,1.5,"Would need evaluation before any stronger medications.",5,3,3,NA,1,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,0,0,0,10,0,10,6,4,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteHighMale",NA,NA,NA,NA,3,5,4,3,3,"Patient continues to complain of back pain. However, patient reports he has not tried the recommended treatments. Recommend patient be evaluated in person.",NA,NA,1,NA,NA,"High","NPPA",NA,1,6,2,15,"Primary care ","Nurse practitioner ",2,NA,100,"Masters",1,10,"",485518690,"White"
"1491",1491,"R_1n15EBKAkyR9kbD",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"engage the pt with treatment that he can follow through on, document",NA,NA,NA,NA,3,NA,2,NA,3,2,2,2,2,2,2,49,"Female",NA,4,NA,NA,6,6,NA,NA,2,2,NA,2,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"pt shared dull pain without any other reasons to quantify pain is more severe.  need to understand more about pain- origin, how long, radiation, any other symptoms, what makes it worse/better,, ect dull is very subjective- would need a more objective tool to assess pain  There was very limited info provided",2,2,4,NA,1,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,5,3,NA,NA,NA,NA,NA,"","","",3,"Dave","WhiteLowMale",NA,NA,NA,NA,2,5,2,2,3,"need to know origin of Dave's pain
How long Dave has had his pain
past treatments Dave has used- what has worked and not worked
what makes his pain better and worse
any imaging or PT done
any past injuries as a cause",NA,NA,1,NA,NA,"Low","RN",NA,1,4,4,23,"Family practice","Nurse manager",16,NA,81,"bachelors degree",1,5,"",485511449,"White"
"1492",1492,"R_1n15EBKAkyR9kbD",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"engage the pt with treatment that he can follow through on, document",NA,NA,NA,NA,3,NA,2,NA,3,2,2,2,2,2,2,49,"Female",NA,4,NA,NA,6,6,NA,NA,2,2,NA,2,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"there was not enough info provided to assess Dave's pain to warrant higher levels of treatment",3,2,4,NA,2,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,5,3,NA,NA,NA,NA,NA,"","","",3,"Dave","WhiteLowMale",NA,NA,NA,NA,2,4,2,2,4,"what does Dave want to get out of his treatment- his goals
what has worked for his pain and what has made pain worse",NA,NA,1,NA,NA,"Low","RN",NA,1,4,4,23,"Family practice","Nurse manager",16,NA,81,"bachelors degree",1,5,"",485511449,"White"
"1493",1493,"R_3LdOidpPoQs0QXv",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reinforce the recommendations and encourage him to follow through ",NA,NA,NA,NA,2,NA,3,NA,6,2,4,4,2,4,2,54,"Female",NA,1,NA,NA,9,6,NA,NA,1,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,2,1,2,1,1,6,8,3,1.5,"To treat his low back pain",4,3,5,NA,2,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,0,0,9,0,0,9,7,6,NA,NA,NA,NA,NA,"","","",2,"Dave","WhiteHighMale",NA,NA,NA,NA,2,4,3,4,4,"Refer to physical therapy 
Gentle stretching at home 
X ray of back/lower spine",NA,NA,1,NA,NA,"High","NPPA",NA,1,2,6,26,"Family medicine ","Nurse practitioner ",11,NA,85,"MSN ",1,3,"",485515848,"White"
"1494",1494,"R_3LdOidpPoQs0QXv",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reinforce the recommendations and encourage him to follow through ",NA,NA,NA,NA,2,NA,3,NA,6,2,4,4,2,4,2,54,"Female",NA,1,NA,NA,9,6,NA,NA,1,2,NA,5,NA,"White","High SES",NA,NA,NA,NA,NA,NA,2,1,2,1,2,6,8,3,1.5,"To treat his pain",4,3,4,NA,1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off",0,0,0,0,0,0,0,0,9,0,0,9,7,6,NA,NA,NA,NA,NA,"","","",2,"Dave","WhiteHighMale",NA,NA,NA,NA,2,5,2,4,4,"Physical therapy
Ibuprofen/lidocaine as needed
Get imaging ",NA,NA,1,NA,NA,"High","NPPA",NA,1,2,6,26,"Family medicine ","Nurse practitioner ",11,NA,85,"MSN ",1,3,"",485515848,"White"
"1495",1495,"R_3fCaTkFp3JjQhv3",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"discuss the need for compliance and notethat if he is unable or unwilling that I am unable to help him",NA,NA,NA,NA,3,NA,2,NA,4,2,2,2,4,2,4,52,"Female",NA,1,NA,NA,5,6,NA,NA,2,1,NA,3,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,8,2,1,"i need more information for dx/tx.  I cant rule out a kidney stone or other non muscular etiology given the limited info",5,3,3,NA,1,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,5,3,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteLowMale",NA,NA,NA,NA,1,5,3,3,3,"U/A is needed to r/o renal.  More objective info needed re s/s.  PT started on conservative pain managemnet. No recommended change form conservative unless failur demonstrated. Pt has not taken Rx , so no indication as to effectiveness.",NA,NA,1,NA,NA,"Low","NPPA",NA,1,3,2,26,"family practice","NP",22,NA,60,"doctorate",1,19,"",485519452,"White"
"1496",1496,"R_3fCaTkFp3JjQhv3",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"discuss the need for compliance and notethat if he is unable or unwilling that I am unable to help him",NA,NA,NA,NA,3,NA,2,NA,4,2,2,2,4,2,4,52,"Female",NA,1,NA,NA,5,6,NA,NA,2,1,NA,3,NA,"White","Low SES",NA,NA,NA,NA,NA,NA,1,1,1,1,2,7,8,2,1,"again- i dont know the etiology of daves pain, so I will treat conservatively until i do",5,3,3,NA,1,3,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off",0,0,0,0,0,6,0,0,0,0,0,6,5,3,NA,NA,NA,NA,NA,"","","",4,"Dave","WhiteLowMale",NA,NA,NA,NA,3,5,4,3,3,"Ot has not follwed RX regimen. Stressed importance of adhereance to pt to assess/th condition.  recommend additional objective information to assist with future tx options.",NA,NA,1,NA,NA,"Low","NPPA",NA,1,3,2,26,"family practice","NP",22,NA,60,"doctorate",1,19,"",485519452,"White"
